Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue,Division
DONEGAL,ARMAGH,16/02/2003,"NFL, DIV 1 LEAGUE SA",LOSS,1,6,9,2,9,15,BALLYBOFEY,1
TYRONE,DUBLIN,16/02/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,11,11,0,12,12,PARNELL PARK,1
FERMANAGH,CAVAN,16/02/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,11,14,1,9,12,BREWSTER PARK,1
GALWAY,KERRY,16/02/2003,"NFL, DIV 1 LEAGUE SA",WIN,1,13,16,0,9,9,PEARSE PARK,1
LAOIS,MAYO,16/02/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,9,12,1,8,11,BALLINROBE,1
MEATH,KILDARE,16/02/2003,"NFL, DIV 1 LEAGUE SB",WIN,0,13,13,0,12,12,PAIRC TAILTEAN,1
ROSCOMMON,CORK,16/02/2003,"NFL, DIV 1 LEAGUE SA",WIN,1,12,15,1,11,14,DR HYDE PARK,1
SLIGO,DOWN,16/02/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,11,14,1,10,13,NEWRY,1
CARLOW,CLARE,16/02/2003,"NFL, DIV 2 LEAGUE SB",WIN,3,6,15,0,14,14,DR CULLEN PARK,2
TIPPERARY,DERRY,16/02/2003,"NFL, DIV 2 LEAGUE SB",TIE,2,10,16,1,13,16,CELTIC PARK,2
LONDON,LIMERICK,16/02/2003,"NFL, DIV 2 LEAGUE SA",LOSS,0,4,4,2,20,26,THE GAELIC GROUNDS,2
OFFALY,LEITRIM,16/02/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,8,11,2,6,12,CARRICK ON SHANNON,2
WICKLOW,LOUTH,16/02/2003,"NFL, DIV 2 LEAGUE SA",LOSS,0,8,8,2,13,19,AUGHRIM,2
WATERFORD,LONGFORD,16/02/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,8,8,3,13,22,PEARSE PARK,2
WESTMEATH,ANTRIM,16/02/2003,"NFL, DIV 2 LEAGUE SA",WIN,0,15,15,2,7,13,CASEMENT PARK,2
MONAGHAN,WEXFORD,16/02/2003,"NFL, DIV 2 LEAGUE SB",LOSS,2,8,14,2,12,18,WEXFORD PARK,2
MONAGHAN,DERRY,23/02/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,7,7,4,15,27,BALLINASCREEN,2
GALWAY,CORK,01/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,1,9,12,1,10,13,PAIRC UI RINN,1
ROSCOMMON,ARMAGH,02/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,9,9,0,14,14,CROSSMAGLEN,1
MAYO,CAVAN,02/03/2003,"NFL, DIV 1 LEAGUE SB",LOSS,0,11,11,1,16,19,BREFFNI PARK,1
FERMANAGH,KILDARE,02/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,2,8,14,0,9,9,NEWBRIDGE,1
KERRY,DUBLIN,02/03/2003,"NFL, DIV 1 LEAGUE SA",WIN,2,11,17,0,14,14,FITZGERALD STADIUM,1
LAOIS,DOWN,02/03/2003,"NFL, DIV 1 LEAGUE SB",TIE,0,17,17,2,11,17,O'MOORE PARK,1
SLIGO,MEATH,02/03/2003,"NFL, DIV 1 LEAGUE SB",LOSS,1,9,12,0,13,13,MARKIEVICZ PARK,1
DONEGAL,TYRONE,02/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,1,14,17,UNKNOWN,1
CARLOW,TIPPERARY,02/03/2003,"NFL, DIV 2 LEAGUE SB",WIN,1,14,17,1,8,11,ARDFINNAN,2
WATERFORD,DERRY,02/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,2,5,11,1,15,18,DUNGARVAN,2
LEITRIM,LOUTH,02/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,2,7,13,1,11,14,UNKNOWN,2
MONAGHAN,LONGFORD,02/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,10,10,1,9,12,CLONES,2
OFFALY,ANTRIM,02/03/2003,"NFL, DIV 2 LEAGUE SA",TIE,1,9,12,1,9,12,TULLAMORE,2
LONDON,WICKLOW,02/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,0,9,9,0,12,12,RUISLIP,2
WESTMEATH,LIMERICK,02/03/2003,"NFL, DIV 2 LEAGUE SA",WIN,0,12,12,0,9,9,"CUSACK PARK, ENNIS",2
CLARE,WEXFORD,02/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,5,5,0,10,10,"CUSACK PARK, ENNIS",2
CORK,DUBLIN,09/03/2003,"NFL, DIV 1 LEAGUE SA",WIN,0,16,16,0,8,8,PARNELL PARK,1
DOWN,CAVAN,09/03/2003,"NFL, DIV 1 LEAGUE SB",LOSS,1,10,13,1,13,16,UNKNOWN,1
FERMANAGH,MEATH,09/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,3,9,18,0,12,12,BREWSTER PARK,1
DONEGAL,KERRY,09/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,1,12,15,BALLYSHANNON,1
LAOIS,SLIGO,09/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,8,11,0,5,5,PORTLAOISE,1
KILDARE,MAYO,09/03/2003,"NFL, DIV 1 LEAGUE SB",LOSS,0,9,9,0,12,12,BALLINA,1
GALWAY,ROSCOMMON,09/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,2,10,16,DUGGAN PARK,1
ARMAGH,TYRONE,09/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,1,9,12,OMAGH,1
CARLOW,DERRY,09/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,1,8,11,5,13,28,DR CULLEN PARK,2
ANTRIM,LOUTH,09/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,0,8,8,1,13,16,CASEMENT PARK,2
WICKLOW,LEITRIM,09/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,7,10,1,14,17,CARRICK ON SHANNON,2
OFFALY,LIMERICK,09/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,7,10,2,5,11,KILLMALOCK,2
CLARE,LONGFORD,09/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,12,12,2,11,17,PEARSE PARK,2
WATERFORD,MONAGHAN,09/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,1,6,9,0,18,18,CLONES,2
WESTMEATH,LONDON,09/03/2003,"NFL, DIV 2 LEAGUE SA",WIN,3,19,28,1,7,10,ROCHFORTBRIDGE,2
TIPPERARY,WEXFORD,09/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,7,7,2,14,20,WEXFORD PARK,2
DONEGAL,CORK,22/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,3,8,17,PAIRC UI RINN,1
DERRY,WEXFORD,22/03/2003,"NFL, DIV 2 LEAGUE SB",WIN,3,12,21,1,7,10,CELTIC PARK,2
LIMERICK,LOUTH,22/03/2003,"NFL, DIV 2 LEAGUE SA",WIN,1,14,17,1,12,15,ARDEE,2
LAOIS,CAVAN,23/03/2003,"NFL, DIV 1 LEAGUE SB",TIE,2,17,23,4,11,23,BREFFNI PARK,1
ROSCOMMON,DUBLIN,23/03/2003,"NFL, DIV 1 LEAGUE SA",LOSS,0,14,14,0,17,17,DR HYDE PARK,1
FERMANAGH,SLIGO,23/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,10,13,0,11,11,MARKIEVICZ PARK,1
GALWAY,ARMAGH,23/03/2003,"NFL, DIV 1 LEAGUE SA",WIN,1,17,20,1,14,17,UNKNOWN,1
KILDARE,DOWN,23/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,16,19,1,11,14,NEWBRIDGE,1
MEATH,MAYO,23/03/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,16,19,0,12,12,PAIRC TAILTEAN,1
TYRONE,KERRY,23/03/2003,"NFL, DIV 1 LEAGUE SA",WIN,1,13,16,0,14,14,FITZGERALD STADIUM,1
WICKLOW,ANTRIM,23/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,2,10,16,1,14,17,AUGHRIM,2
CARLOW,WATERFORD,23/03/2003,"NFL, DIV 2 LEAGUE SB",WIN,0,19,19,1,6,9,DUNGARVAN,2
LONDON,LEITRIM,23/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,7,10,3,12,21,RUISLIP,2
TIPPERARY,LONGFORD,23/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,2,11,17,4,18,30,NENAGH,2
CLARE,MONAGHAN,23/03/2003,"NFL, DIV 2 LEAGUE SB",LOSS,2,10,16,1,19,22,ENNIS,2
WESTMEATH,OFFALY,23/03/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,10,13,1,13,16,O'CONNOR PARK,2
LONDON,OFFALY,05/04/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,7,7,2,17,23,GRACEFIELD,2
GALWAY,DUBLIN,06/04/2003,"NFL, DIV 1 LEAGUE SA",TIE,1,9,12,0,12,12,PARNELL PARK,1
ROSCOMMON,DONEGAL,06/04/2003,"NFL, DIV 1 LEAGUE SA",LOSS,1,10,13,2,10,16,BALLYBOFEY,1
MEATH,DOWN,06/04/2003,"NFL, DIV 1 LEAGUE SB",LOSS,1,11,14,0,15,15,NEWCASTLE,1
FERMANAGH,MAYO,06/04/2003,"NFL, DIV 1 LEAGUE SB",WIN,0,12,12,0,11,11,CHARLESTOWN,1
ARMAGH,KERRY,06/04/2003,"NFL, DIV 1 LEAGUE SA",LOSS,2,8,14,1,13,16,AUSTIN STACK PARK,1
LAOIS,KILDARE,06/04/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,14,17,1,9,12,PORTLAOISE,1
SLIGO,CAVAN,06/04/2003,"NFL, DIV 1 LEAGUE SB",WIN,1,16,19,1,12,15,BREFFNI PARK,1
TYRONE,CORK,06/04/2003,"NFL, DIV 1 LEAGUE SA",WIN,1,17,20,0,14,14,DUNGANNON,1
LEITRIM,ANTRIM,06/04/2003,"NFL, DIV 2 LEAGUE SA",LOSS,1,9,12,1,16,19,CASEMENT PARK,2
WATERFORD,CLARE,06/04/2003,"NFL, DIV 2 LEAGUE SB",LOSS,1,10,13,1,23,26,"CUSACK PARK, ENNIS",2
WICKLOW,LIMERICK,06/04/2003,"NFL, DIV 2 LEAGUE SA",LOSS,0,10,10,3,17,26,UNKNOWN,2
DERRY,LONGFORD,06/04/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,10,10,1,12,15,BALLYMAHON,2
MONAGHAN,TIPPERARY,06/04/2003,"NFL, DIV 2 LEAGUE SB",WIN,1,12,15,1,8,11,CLONES,2
WESTMEATH,LOUTH,06/04/2003,"NFL, DIV 2 LEAGUE SA",WIN,0,18,18,2,8,14,"CUSACK PARK, ENNIS",2
CARLOW,WEXFORD,06/04/2003,"NFL, DIV 2 LEAGUE SB",LOSS,0,11,11,1,9,12,WEXFORD PARK,2
LAOIS,ARMAGH,20/04/2003,"NFL, DIV 1 LEAGUE SEMI-FINAL",WIN,1,14,17,1,11,14,CROKE PARK,1
SLIGO,KILDARE,20/04/2003,"NFL, DIV 1 LEAGUE SB",WIN,0,12,12,1,7,10,MARKIEVICZ PARK,1
FERMANAGH,TYRONE,20/04/2003,"NFL, DIV 1 LEAGUE SEMI-FINAL",LOSS,1,11,14,4,11,23,TYRONE,1
WESTMEATH,LONGFORD,20/04/2003,"NFL, DIV 2 LEAGUE SEMI-FINAL",WIN,1,16,19,2,2,8,DR HYDE PARK,2
LIMERICK,WEXFORD,21/04/2003,"NFL, DIV 2 LEAGUE SEMI-FINAL",WIN,2,13,19,0,7,7,O'MOORE PARK,2
LAOIS,TYRONE,04/05/2003,"NFL, DIV 1 LEAGUE FINAL",LOSS,1,8,11,0,21,21,CROKE PARK,1
WESTMEATH,LIMERICK,04/05/2003,"NFL, DIV 2 LEAGUE FINAL",WIN,2,12,18,1,14,17,CROKE PARK,2
WESTMEATH,CORK,31/01/2004,"NFL, DIV 1 LEAGUE SA",TIE,2,5,11,1,8,11,,1
ARMAGH,WEXFORD,01/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,1,6,9,0,8,8,,1
TYRONE,DUBLIN,01/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,0,9,9,,1
FERMANAGH,MAYO,01/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,1,7,10,,1
KERRY,LONGFORD,01/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,1,12,15,3,7,16,,1
LIMERICK,LAOIS,01/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,13,19,1,5,8,,1
MEATH,GALWAY,01/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,12,18,1,12,15,,1
SLIGO,CAVAN,01/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,12,18,0,9,9,,1
CARLOW,MONAGHAN,01/02/2004,"NFL, DIV 2 LEAGUE SA",WIN,0,13,13,0,11,11,,2
CLARE,ROSCOMMON,01/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,6,6,0,11,11,,2
OFFALY,DONEGAL,01/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,7,10,2,7,13,,2
DOWN,TIPPERARY,01/02/2004,"NFL, DIV 2 LEAGUE SB",TIE,3,11,20,3,11,20,,2
KILDARE,DERRY,01/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,1,14,17,0,12,12,,2
LONDON,LEITRIM,01/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,8,8,2,6,12,,2
ANTRIM,LOUTH,01/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,1,9,12,1,7,10,,2
WICKLOW,WATERFORD,01/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,1,16,19,0,6,6,,2
KERRY,CORK,07/02/2004,"NFL, DIV 1 LEAGUE SA",WIN,0,11,11,0,9,9,,1
LIMERICK,CAVAN,08/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,0,11,11,0,7,7,,1
GALWAY,ARMAGH,08/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,0,16,16,0,8,8,,1
MAYO,DUBLIN,08/02/2004,"NFL, DIV 1 LEAGUE SA",WIN,1,10,13,0,3,3,,1
LAOIS,SLIGO,08/02/2004,"NFL, DIV 1 LEAGUE SB",LOSS,0,8,8,2,6,12,,1
FERMANAGH,TYRONE,08/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,2,9,15,,1
WESTMEATH,LONGFORD,08/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,1,13,16,2,12,18,,1
MEATH,WEXFORD,08/02/2004,"NFL, DIV 1 LEAGUE SB",LOSS,1,5,8,0,10,10,,1
ANTRIM,KILDARE,08/02/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,8,11,1,10,13,,2
DERRY,LOUTH,08/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,0,21,21,1,7,10,,2
LEITRIM,DONEGAL,08/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,5,8,2,10,16,,2
CLARE,MONAGHAN,08/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,12,15,4,9,21,,2
LONDON,OFFALY,08/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,8,11,1,13,16,,2
CARLOW,ROSCOMMON,08/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,9,12,0,17,17,,2
WATERFORD,TIPPERARY,08/02/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,8,11,0,17,17,,2
WICKLOW,DOWN,08/02/2004,"NFL, DIV 2 LEAGUE SB",TIE,1,5,8,0,8,8,,2
MAYO,CORK,14/02/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,2,9,15,,1
LAOIS,ARMAGH,15/02/2004,"NFL, DIV 1 LEAGUE SB",LOSS,2,8,14,1,14,17,,1
KERRY,DUBLIN,15/02/2004,"NFL, DIV 1 LEAGUE SA",WIN,1,12,15,0,12,12,,1
WESTMEATH,FERMANAGH,15/02/2004,"NFL, DIV 1 LEAGUE SA",TIE,0,12,12,1,9,12,,1
TYRONE,LONGFORD,15/02/2004,"NFL, DIV 1 LEAGUE SA",WIN,3,15,24,0,9,9,,1
LIMERICK,WEXFORD,15/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,10,16,1,9,12,,1
MEATH,CAVAN,15/02/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,11,17,0,12,12,,1
SLIGO,GALWAY,15/02/2004,"NFL, DIV 1 LEAGUE SB",TIE,1,11,14,1,11,14,,1
CARLOW,OFFALY,15/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,11,14,2,9,15,,2
LEITRIM,CLARE,15/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,9,9,1,13,16,,2
MONAGHAN,DONEGAL,15/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,11,14,3,6,15,,2
DOWN,DERRY,15/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,2,10,16,2,6,12,,2
KILDARE,TIPPERARY,15/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,0,13,13,0,8,8,,2
LONDON,ROSCOMMON,15/02/2004,"NFL, DIV 2 LEAGUE SA",LOSS,2,7,13,2,12,18,,2
WICKLOW,LOUTH,15/02/2004,"NFL, DIV 2 LEAGUE SB",WIN,1,11,14,1,8,11,,2
WATERFORD,ANTRIM,15/02/2004,"NFL, DIV 2 LEAGUE SB",LOSS,3,8,17,1,16,19,,2
CAVAN,ARMAGH,07/03/2004,"NFL, DIV 1 LEAGUE SB",WIN,3,12,21,0,8,8,,1
LIMERICK,GALWAY,07/03/2004,"NFL, DIV 1 LEAGUE SB",LOSS,1,10,13,4,11,23,,1
FERMANAGH,KERRY,07/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,6,6,2,18,24,,1
LAOIS,MEATH,07/03/2004,"NFL, DIV 1 LEAGUE SB",WIN,1,15,18,1,12,15,,1
MAYO,LONGFORD,07/03/2004,"NFL, DIV 1 LEAGUE SA",WIN,0,16,16,0,8,8,,1
WESTMEATH,DUBLIN,07/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,0,15,15,,1
SLIGO,WEXFORD,07/03/2004,"NFL, DIV 1 LEAGUE SB",LOSS,0,13,13,3,17,26,,1
ANTRIM,DOWN,07/03/2004,"NFL, DIV 2 LEAGUE SB",TIE,1,9,12,1,9,12,,2
WATERFORD,DERRY,07/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,0,4,4,5,17,32,,2
CARLOW,LEITRIM,07/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,8,11,1,10,13,,2
LONDON,MONAGHAN,07/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,9,9,0,15,15,,2
OFFALY,CLARE,07/03/2004,"NFL, DIV 2 LEAGUE SA",WIN,1,11,14,0,10,10,,2
ROSCOMMON,DONEGAL,07/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,11,11,0,12,12,,2
TIPPERARY,LOUTH,07/03/2004,"NFL, DIV 2 LEAGUE SB",WIN,0,16,16,1,10,13,,2
WICKLOW,KILDARE,07/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,0,11,11,0,13,13,,2
SLIGO,ARMAGH,14/03/2004,"NFL, DIV 1 LEAGUE SB",LOSS,0,10,10,1,12,15,,1
CORK,LONGFORD,14/03/2004,"NFL, DIV 1 LEAGUE SA",WIN,3,10,19,1,10,13,,1
FERMANAGH,DUBLIN,14/03/2004,"NFL, DIV 1 LEAGUE SA",TIE,0,12,12,0,12,12,,1
LAOIS,GALWAY,14/03/2004,"NFL, DIV 1 LEAGUE SB",TIE,1,10,13,1,10,13,,1
LIMERICK,MEATH,14/03/2004,"NFL, DIV 1 LEAGUE SB",TIE,2,5,11,1,8,11,,1
MAYO,TYRONE,14/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,1,5,8,2,11,17,,1
WESTMEATH,KERRY,14/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,2,10,16,,1
CAVAN,WEXFORD,14/03/2004,"NFL, DIV 1 LEAGUE SB",TIE,1,11,14,1,11,14,,1
CARLOW,CLARE,14/03/2004,"NFL, DIV 2 LEAGUE SA",WIN,2,7,13,0,10,10,,2
ANTRIM,DERRY,14/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,8,11,3,13,22,,2
WATERFORD,DOWN,14/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,9,12,3,15,24,,2
KILDARE,LOUTH,14/03/2004,"NFL, DIV 2 LEAGUE SB",WIN,0,15,15,1,11,14,,2
LONDON,DONEGAL,14/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,6,9,1,14,17,,2
OFFALY,LEITRIM,14/03/2004,"NFL, DIV 2 LEAGUE SA",WIN,2,10,16,0,4,4,,2
MONAGHAN,ROSCOMMON,14/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,1,4,7,0,12,12,,2
WICKLOW,TIPPERARY,14/03/2004,"NFL, DIV 2 LEAGUE SB",WIN,0,12,12,0,7,7,,2
LAOIS,CAVAN,21/03/2004,"NFL, DIV 1 LEAGUE SB",WIN,1,11,14,1,8,11,,1
CORK,DUBLIN,21/03/2004,"NFL, DIV 1 LEAGUE SA",TIE,0,9,9,0,9,9,,1
GALWAY,WEXFORD,21/03/2004,"NFL, DIV 1 LEAGUE SB",LOSS,1,7,10,5,12,27,,1
MAYO,KERRY,21/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,1,13,16,,1
MEATH,ARMAGH,21/03/2004,"NFL, DIV 1 LEAGUE SB",TIE,2,7,13,2,7,13,,1
LIMERICK,SLIGO,21/03/2004,"NFL, DIV 1 LEAGUE SB",TIE,0,10,10,1,7,10,,1
WESTMEATH,TYRONE,21/03/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,6,6,2,11,17,,1
ANTRIM,TIPPERARY,21/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,11,14,2,15,21,,2
LONDON,CARLOW,21/03/2004,"NFL, DIV 2 LEAGUE SA",WIN,1,10,13,0,12,12,,2
CLARE,DONEGAL,21/03/2004,"NFL, DIV 2 LEAGUE SA",LOSS,2,4,10,0,12,12,,2
DOWN,LOUTH,21/03/2004,"NFL, DIV 2 LEAGUE SB",WIN,3,15,24,1,12,15,,2
LEITRIM,MONAGHAN,21/03/2004,"NFL, DIV 2 LEAGUE SA",TIE,0,8,8,0,8,8,,2
OFFALY,ROSCOMMON,21/03/2004,"NFL, DIV 2 LEAGUE SA",WIN,1,13,16,1,6,9,,2
WICKLOW,DERRY,21/03/2004,"NFL, DIV 2 LEAGUE SB",WIN,1,6,9,0,7,7,,2
WATERFORD,KILDARE,21/03/2004,"NFL, DIV 2 LEAGUE SB",LOSS,0,6,6,3,22,31,,2
FERMANAGH,LONGFORD,28/03/2004,"NFL, DIV 1 LEAGUE SA",WIN,0,13,13,1,8,11,,1
TYRONE,CORK,28/03/2004,"NFL, DIV 1 LEAGUE SA",TIE,1,9,12,1,9,12,,1
FERMANAGH,CORK,04/04/2004,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,1,10,13,,1
GALWAY,CAVAN,04/04/2004,"NFL, DIV 1 LEAGUE SB",WIN,2,12,18,2,11,17,,1
LONGFORD,DUBLIN,04/04/2004,"NFL, DIV 1 LEAGUE SA",LOSS,2,9,15,2,12,18,,1
LIMERICK,ARMAGH,04/04/2004,"NFL, DIV 1 LEAGUE SB",WIN,0,15,15,0,12,12,,1
LAOIS,WEXFORD,04/04/2004,"NFL, DIV 1 LEAGUE SB",WIN,1,14,17,1,8,11,,1
SLIGO,MEATH,04/04/2004,"NFL, DIV 1 LEAGUE SB",WIN,1,14,17,3,7,16,,1
TYRONE,KERRY,04/04/2004,"NFL, DIV 1 LEAGUE SA",WIN,1,8,11,1,7,10,,1
WESTMEATH,MAYO,04/04/2004,"NFL, DIV 1 LEAGUE SA",WIN,2,16,22,2,10,16,,1
WICKLOW,ANTRIM,04/04/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,7,10,1,9,12,,2
LONDON,CLARE,04/04/2004,"NFL, DIV 2 LEAGUE SA",LOSS,2,6,12,1,20,23,,2
CARLOW,DONEGAL,04/04/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,5,5,3,15,24,,2
KILDARE,DOWN,04/04/2004,"NFL, DIV 2 LEAGUE SB",TIE,0,13,13,1,10,13,,2
WATERFORD,LOUTH,04/04/2004,"NFL, DIV 2 LEAGUE SB",LOSS,1,13,16,1,17,20,,2
OFFALY,MONAGHAN,04/04/2004,"NFL, DIV 2 LEAGUE SA",WIN,3,8,17,0,5,5,,2
LEITRIM,ROSCOMMON,04/04/2004,"NFL, DIV 2 LEAGUE SA",LOSS,0,5,5,0,11,11,,2
TIPPERARY,DERRY,04/04/2004,"NFL, DIV 2 LEAGUE SB",WIN,3,13,22,1,14,17,,2
LIMERICK,KERRY,18/04/2004,"NFL, DIV 1 LEAGUE SEMI-FINAL",LOSS,0,10,10,0,12,12,TRALEE,1
GALWAY,TYRONE,18/04/2004,"NFL, DIV 1 LEAGUE SEMI-FINAL",TIE,1,16,19,1,16,19,OMAGH,1
DOWN,DONEGAL,18/04/2004,"NFL, DIV 2 LEAGUE SEMI-FINAL",WIN,2,5,11,0,10,10,CLONES,2
OFFALY,KILDARE,18/04/2004,"NFL, DIV 2 LEAGUE SEMI-FINAL",WIN,1,16,19,1,8,11,O'MOORE PARK,2
GALWAY,TYRONE,24/04/2004,"NFL, DIV 1 LEAGUE SEMI-FINAL REPLAY",WIN,2,18,24,1,19,22,PEARSE STADIUM,1
GALWAY,KERRY,02/05/2004,"NFL, DIV 1 LEAGUE FINAL",LOSS,1,16,19,3,11,20,CROKE PARK,1
OFFALY,DOWN,02/05/2004,"NFL, DIV 2 LEAGUE FINAL",WIN,1,10,13,1,8,11,CROKE PARK,2
KERRY,CORK,04/02/2005,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,1,12,15,,1
MAYO,DUBLIN,05/02/2005,"NFL, DIV 1 LEAGUE SA",LOSS,1,15,18,2,13,19,,1
DONEGAL,TYRONE,06/02/2005,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,1,11,14,,1
SLIGO,DOWN,06/02/2005,"NFL, DIV 1 LEAGUE SB",LOSS,0,11,11,2,13,19,,1
KILDARE,GALWAY,06/02/2005,"NFL, DIV 1 LEAGUE SB",LOSS,0,8,8,2,11,17,,1
LIMERICK,LAOIS,06/02/2005,"NFL, DIV 1 LEAGUE SB",LOSS,2,5,11,0,12,12,,1
WESTMEATH,OFFALY,06/02/2005,"NFL, DIV 1 LEAGUE SA",LOSS,0,14,14,2,11,17,,1
ARMAGH,WEXFORD,06/02/2005,"NFL, DIV 1 LEAGUE SB",LOSS,2,6,12,2,13,19,,1
ANTRIM,LOUTH,06/02/2005,"NFL, DIV 2 LEAGUE SB",WIN,0,16,16,1,12,15,,2
MEATH,DERRY,06/02/2005,"NFL, DIV 2 LEAGUE SB",LOSS,2,9,15,1,15,18,,2
LONDON,LEITRIM,06/02/2005,"NFL, DIV 2 LEAGUE SA",LOSS,0,3,3,0,21,21,,2
CARLOW,MONAGHAN,06/02/2005,"NFL, DIV 2 LEAGUE SA",LOSS,2,9,15,0,20,20,,2
